# All events are fictitious for testing purposes ONLY.
month,day,title,type
01,01,Tokino Sora,birthday
01,15,Roboco-san,debut
02,14,Sakura Miko,birthday
02,20,Hoshimachi Suisei,birthday
03,17,Azki,debut
03,25,Yozora Mel,birthday
04,01,Shirakami Fubuki,birthday
04,22,Natsuiro Matsuri,debut
05,01,Murasaki Shion,birthday
05,25,Akai Haato,birthday
06,14,Shion Murasaki,debut
06,21,Nakiri Ayame,birthday
07,04,Oozora Subaru,birthday
07,20,Yuzuki Choco,debut
08,15,Himemori Luna,birthday
08,30,Houshou Marine,birthday
09,07,Shirogane Noel,debut
09,23,Shiranui Flare,birthday
10,31,Usada Pekora,birthday
11,11,Uruha Rushia,debut
11,26,Amane Kanata,birthday
12,24,Inugami Korone,birthday
12,25,Nekomata Okayu,debut
12,31,Kiryuu Coco,birthday
15,01,Tokino Sora,testing
