date,title
2025-01-01,New Year's Day
2025-01-01,Holiday Celebration
2025-01-01,Fireworks Display
2025-01-01,Family Gathering
2025-01-01,New Year Brunch
2025-01-15,Team Meeting
2025-02-14,Valentine's Day
2025-02-14,Special Dinner
2025-02-14,Gift Exchange
2025-02-14,Romantic Movie Night
2025-02-14,Chocolate Tasting
2025-02-20,Project Deadline
2025-03-17,St. Patrick's Day
2025-03-17,Parade
2025-03-17,Green Party
2025-03-17,Irish Dance Show
2025-03-17,Pub Crawl
2025-03-25,Quarterly Review
2025-04-01,April Fool's Day
2025-04-22,Earth Day
2025-05-01,May Day
2025-05-25,Memorial Day
2025-05-25,Family BBQ
2025-05-25,Parade
2025-05-25,Veterans Tribute
2025-05-25,Picnic in the Park
2025-06-14,Flag Day
2025-06-21,Summer Solstice
2025-07-04,Independence Day
2025-07-04,Fireworks Show
2025-07-04,Parade
2025-07-04,BBQ Party
2025-07-04,Concert
2025-07-20,Company Picnic
2025-08-15,Back to School
2025-08-30,End of Summer Party
2025-09-07,Labor Day
2025-09-23,Fall Equinox
2025-10-31,Halloween
2025-10-31,Costume Party
2025-10-31,Haunted House
2025-10-31,Pumpkin Carving
2025-10-31,Trick or Treat
2025-11-11,Veterans Day
2025-11-26,Thanksgiving
2025-11-26,Friendsgiving
2025-11-26,Turkey Trot
2025-11-26,Family Dinner
2025-11-26,Board Games Night
2025-12-24,Christmas Eve
2025-12-25,Christmas Day
2025-12-25,Gift Exchange
2025-12-25,Family Dinner
2025-12-25,Caroling
2025-12-31,New Year's Eve
2025-12-31,Countdown Party
2025-12-31,Fireworks Show
2025-12-31,Champagne Toast
2025-12-31,Dance Party
